iter	Passed	Remaining
572	7453	5554
573	7461	5537
574	7473	5524
575	7484	5509
576	7493	5493
577	7505	5479
578	7516	5465
579	7524	5449
580	7536	5435
581	7545	5419
582	7555	5404
583	7563	5387
584	7575	5374
585	7583	5357
586	7591	5341
587	7602	5326
588	7610	5310
589	7618	5293
590	7628	5279
591	7639	5265
592	7647	5248
593	7656	5233
594	7670	5221
595	7683	5208
596	7700	5197
597	7710	5183
598	7723	5170
599	7730	5153
600	7740	5138
601	7750	5124
602	7760	5109
603	7768	5093
604	7777	5077
605	7787	5063
606	7798	5049
607	7806	5032
608	7813	5016
609	7824	5002
610	7832	4986
611	7841	4971
612	7851	4956
613	7860	4941
614	7868	4925
615	7875	4909
616	7884	4894
617	7893	4879
618	7902	4863
619	7913	4850
620	7923	4835
621	7929	4818
622	7938	4803
623	7948	4789
624	7957	4774
625	7967	4759
626	7976	4744
627	7985	4730
628	7995	4716
629	8005	4701
630	8015	4687
631	8022	4671
632	8030	4656
633	8040	4641
634	8052	4628
635	8062	4614
636	8072	4600
637	8082	4586
638	8094	4573
639	8102	4557
640	8115	4545
641	8126	4531
642	8136	4517
643	8146	4503
644	8157	4489
645	8165	4474
646	8173	4459
647	8180	4443
648	8188	4428
649	8198	4414
650	8205	4399
651	8214	4384
652	8223	4369
653	8231	4355
654	8239	4339
655	8246	4324
656	8260	4312
657	8268	4297
658	8277	4283
659	8285	4268
660	8293	4253
661	8301	4238
662	8309	4223
663	8320	4210
664	8331	4197
665	8343	4184
666	8354	4170
667	8363	4156
668	8371	4142
669	8382	4128
670	8392	4115
671	8404	4102
672	8416	4089
673	8439	4082
674	8449	4068
675	8459	4054
676	8471	4041
677	8481	4027
678	8494	4015
679	8502	4001
680	8511	3987
681	8520	3973
682	8529	3958
683	8540	3945
684	8550	3932
685	8558	3917
686	8570	3904
687	8580	3891
688	8590	3877
689	8598	3863
690	8608	3849
691	8619	3836
692	8629	3822
693	8637	3808
694	8645	3793
695	8653	3779
696	8660	3764
697	8669	3750
698	8677	3736
699	8687	3723
700	8697	3709
701	8705	3695
702	8714	3681
703	8723	3668
704	8742	3658
705	8752	3644
706	8762	3631
707	8771	3617
708	8780	3603
709	8787	3589
710	8795	3575
711	8804	3561
712	8813	3547
713	8822	3533
714	8832	3520
715	8843	3507
716	8851	3493
717	8859	3479
718	8867	3465
719	8875	3451
720	8885	3438
721	8893	3424
722	8902	3410
723	8912	3397
724	8922	3384
725	8932	3371
726	8942	3358
727	8951	3344
728	8961	3331
729	8972	3318
730	8982	3305
731	8993	3292
732	9005	3280
733	9015	3267
734	9025	3254
735	9036	3241
736	9046	3228
737	9056	3215
738	9066	3202
739	9076	3189
740	9088	3176
741	9101	3164
742	9117	3153
743	9133	3142
744	9149	3131
745	9167	3121
746	9182	3110
747	9191	3096
748	9202	3083
749	9214	3071
750	9223	3058
751	9236	3045
752	9245	3032
753	9253	3019
754	9281	3011
755	9293	2999
756	9303	2986
757	9311	2972
758	9322	2960
759	9331	2946
760	9342	2933
761	9353	2921
762	9362	2908
763	9373	2895
764	9387	2883
765	9394	2869
766	9403	2856
767	9413	2843
768	9426	2831
769	9435	2818
770	9448	2806
771	9464	2795
772	9477	2783
773	9489	2770
774	9501	2758
775	9514	2746
776	9526	2734
777	9537	2721
778	9546	2708
779	9557	2695
780	9567	2682
781	9576	2669
782	9584	2656
783	9593	2643
784	9600	2629
785	9607	2615
786	9615	2602
787	9626	2589
788	9639	2577
789	9650	2565
790	9661	2552
791	9674	2540
792	9683	2527
793	9694	2515
794	9706	2502
795	9719	2490
796	9736	2479
797	9747	2467
798	9756	2454
799	9766	2441
800	9777	2429
801	9786	2416
802	9794	2402
803	9804	2390
804	9815	2377
805	9825	2364
806	9835	2352
807	9845	2339
808	9854	2326
809	9863	2313
810	9875	2301
811	9886	2288
812	9896	2276
813	9906	2263
814	9916	2250
815	9925	2237
816	9932	2224
817	9941	2211
818	9949	2198
819	9959	2186
820	9966	2173
821	9975	2160
822	9984	2147
823	9995	2134
824	10005	2122
825	10016	2109
826	10028	2097
827	10038	2085
828	10048	2072
829	10057	2060
830	10066	2047
831	10076	2034
832	10087	2022
833	10097	2009
834	10105	1996
835	10113	1984
836	10124	1971
837	10132	1958
838	10140	1945
839	10152	1933
840	10161	1921
841	10170	1908
842	10179	1895
843	10190	1883
844	10197	1870
845	10208	1858
846	10215	1845
847	10225	1832
848	10234	1820
849	10243	1807
850	10255	1795
851	10263	1782
852	10274	1770
853	10286	1758
854	10296	1746
855	10307	1733
856	10318	1721
857	10326	1709
858	10335	1696
859	10347	1684
860	10356	1671
861	10365	1659
862	10375	1647
863	10384	1634
864	10398	1622
865	10408	1610
866	10419	1598
867	10428	1585
868	10436	1573
869	10445	1560
870	10454	1548
871	10464	1536
872	10473	1523
873	10482	1511
874	10492	1498
875	10504	1486
876	10515	1474
877	10526	1462
878	10536	1450
879	10545	1437
880	10553	1425
881	10564	1413
882	10572	1400
883	10581	1388
884	10591	1376
885	10599	1363
886	10608	1351
887	10618	1339
888	10626	1326
889	10633	1314
890	10643	1302
891	10654	1289
892	10668	1278
893	10682	1266
894	10693	1254
895	10700	1242
896	10708	1229
897	10718	1217
898	10727	1205
899	10736	1192
900	10746	1180
901	10755	1168
902	10764	1156
903	10776	1144
904	10788	1132
905	10798	1120
906	10807	1108
907	10816	1095
908	10827	1083
909	10836	1071
910	10846	1059
911	10862	1048
912	10870	1035
913	10879	1023
914	10887	1011
915	10899	999
916	10908	987
917	10917	975
918	10929	963
919	10941	951
920	10956	939
921	10966	927
922	10977	915
923	10987	903
924	10997	891
925	11008	879
926	11020	867
927	11029	855
928	11037	843
929	11049	831
930	11063	819
931	11072	807
932	11081	795
933	11092	783
934	11103	771
935	11112	759
936	11120	747
937	11128	735
938	11140	723
939	11150	711
940	11159	699
941	11167	687
942	11175	675
943	11187	663
944	11198	651
945	11214	640
946	11225	628
947	11241	616
948	11251	604
949	11262	592
950	11276	581
951	11286	569
952	11297	557
953	11304	545
954	11313	533
955	11324	521
956	11334	509
957	11344	497
958	11353	485
959	11361	473
960	11370	461
961	11379	449
962	11386	437
963	11396	425
964	11404	413
965	11414	401
966	11424	389
967	11435	378
968	11445	366
969	11454	354
970	11464	342
971	11472	330
972	11483	318
973	11493	306
974	11503	294
975	11516	283
976	11523	271
977	11533	259
978	11541	247
979	11551	235
980	11558	223
981	11566	212
982	11575	200
983	11587	188
984	11596	176
985	11607	164
986	11617	153
987	11625	141
988	11634	129
989	11642	117
990	11652	105
991	11659	94
992	11671	82
993	11682	70
994	11690	58
995	11700	46
996	11713	35
997	11725	23
998	11737	11
999	11750	0
