iter	RMSE
743	2247.976935
744	2247.837929
745	2245.935031
746	2245.789836
747	2244.850547
748	2242.223072
749	2241.803364
750	2241.604195
751	2239.805941
752	2239.105471
753	2237.98274
754	2231.269288
755	2230.402386
756	2229.177866
757	2229.026959
758	2227.858474
759	2227.465537
760	2225.658729
761	2225.546774
762	2224.95139
763	2223.979632
764	2218.881404
765	2217.064207
766	2216.606433
767	2212.179048
768	2210.645108
769	2209.861602
770	2205.805465
771	2202.897401
772	2202.072465
773	2200.988813
774	2199.94959
775	2199.789511
776	2198.970175
777	2198.641625
778	2198.514874
779	2198.338397
780	2197.466787
781	2195.996441
782	2194.497204
783	2193.902958
784	2192.290542
785	2191.040192
786	2189.409647
787	2187.404853
788	2186.384899
789	2185.290855
790	2184.956105
791	2184.229186
792	2183.796884
793	2183.131086
794	2182.805489
795	2182.175947
796	2179.565259
797	2178.835711
798	2177.733906
799	2177.380102
800	2177.302832
801	2177.054778
802	2175.196921
803	2173.868014
804	2173.412174
805	2173.158512
806	2172.925359
807	2170.774427
808	2170.177373
809	2169.808754
810	2166.783488
811	2165.14865
812	2164.039772
813	2162.45106
814	2162.339148
815	2161.085316
816	2160.545442
817	2159.587689
818	2158.84887
819	2158.514404
820	2157.098492
821	2156.263479
822	2156.116187
823	2153.882056
824	2152.362074
825	2149.566199
826	2148.612146
827	2147.667598
828	2146.457685
829	2146.222876
830	2145.107111
831	2144.087616
832	2144.004855
833	2142.448675
834	2141.096781
835	2140.211494
836	2138.654143
837	2138.18525
838	2137.830299
839	2136.190157
840	2135.368552
841	2134.86561
842	2134.165977
843	2131.856305
844	2130.667724
845	2126.835909
846	2125.621264
847	2124.446011
848	2121.803024
849	2119.913899
850	2119.331177
851	2118.070122
852	2116.893528
853	2113.709885
854	2111.802419
855	2111.488718
856	2111.200566
857	2110.657373
858	2109.502537
859	2108.541058
860	2108.12168
861	2106.141865
862	2105.549705
863	2104.990996
864	2104.287393
865	2103.441955
866	2102.908822
867	2102.316628
868	2102.165785
869	2101.547149
870	2099.819865
871	2099.071275
872	2098.678622
873	2097.475266
874	2095.794564
875	2093.743867
876	2092.796042
877	2092.284018
878	2091.432925
879	2091.311625
880	2090.380328
881	2089.594713
882	2089.521919
883	2086.268472
884	2083.643173
885	2083.349181
886	2079.379478
887	2078.668643
888	2078.397463
889	2076.133965
890	2074.348662
891	2073.165216
892	2072.528819
893	2072.125855
894	2071.844716
895	2070.352568
896	2068.751307
897	2068.316243
898	2065.495458
899	2062.001859
900	2061.148801
901	2060.288728
902	2059.728344
903	2058.119482
904	2057.093262
905	2056.915482
906	2056.06095
907	2053.800221
908	2053.12183
909	2052.09157
910	2051.674386
911	2051.089123
912	2050.777556
913	2050.052134
914	2048.461634
915	2047.846
916	2046.253038
917	2045.232913
918	2040.456649
919	2037.131892
920	2036.663445
921	2036.333879
922	2035.577955
923	2034.245465
924	2033.195303
925	2033.115632
926	2032.396291
927	2032.285891
928	2031.825832
929	2031.187517
930	2030.954983
931	2030.864923
932	2028.089596
933	2026.94894
934	2026.481175
935	2025.546054
936	2024.431554
937	2024.329846
938	2023.68075
939	2022.895177
940	2021.944752
941	2021.613557
942	2020.613575
943	2020.133319
944	2018.915596
945	2018.349589
946	2017.569446
947	2017.176655
948	2016.236051
949	2013.173499
950	2010.605091
951	2009.8478
952	2009.194747
953	2008.588227
954	2006.474708
955	2005.098896
956	2004.781804
957	2004.267612
958	2002.79999
959	2002.614645
960	2002.235862
961	2001.674963
962	2001.370904
963	2001.273692
964	2001.132169
965	2000.585844
966	1999.942193
967	1998.786885
968	1996.11108
969	1994.836892
970	1993.807202
971	1993.632061
972	1993.100165
973	1992.978882
974	1990.467482
975	1989.468013
976	1987.251656
977	1986.784275
978	1984.957171
979	1984.675832
980	1982.439744
981	1980.960632
982	1979.670374
983	1978.519111
984	1977.665398
985	1977.133078
986	1976.531915
987	1976.404403
988	1976.289167
989	1975.615787
990	1974.80467
991	1974.123479
992	1970.477599
993	1969.033329
994	1968.585697
995	1968.356333
996	1966.553861
997	1965.963223
998	1965.403521
999	1964.560592
